qid,label,hallucination_score_manual,correctness_score_manual,semantic_similarity_manual,explanation,model,hallucination_score_auto,correctness_score_auto,completeness,relevance,regulatory_consistency,semantic_similarity_auto,category,manual_correct,auto_correct
123,correct,0,1,0.95,"GPT-4o correctly states students can change major if school approves and issues updated I-20 with DSO updating SEVIS, accurately reflecting USCIS requirement that SEVIS records accurately reflect the major.",GPT4o,0.227979541,0.772020459,0.628957086,0.796586417,0.3,0.628957086,Academic Issues,1,1
124,incorrect,0.4,0.48,0.42,Does not mention that F-1 part-time enrollment requires DSO-authorized RCL and implies it is generally allowed.,Claude,0.812572053,0.187427947,0.624759824,0.744482142,0.1,0.624759824,Academic Issues,0,0
124,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about dropping to part-time but doesn't clearly emphasize the critical F-1 rule that part-time enrollment requires DSO authorization under specific USCIS criteria and unauthorized part-time study violates status.,GPT4o,0.804264252,0.195735748,0.652452492,0.73618347,0.1,0.652452492,Academic Issues,0,0
125,partially_correct,0.3,0.72,0.74,"Includes correct extension concept but adds reasons not permitted under F-1 rules, like financial hardship.",Claude,0.829053488,0.170946512,0.569821705,0.687194227,0,0.569821705,Academic Issues,0,0
125,partially_correct,0.1,0.7,0.6,GPT-4o provides general advice about program extension but doesn't emphasize the critical USCIS requirement that new program end date must be reflected on I-20 before current end date expires with valid academic or medical reason.,GPT4o,0.820813995,0.179186005,0.597286684,0.725986403,0,0.597286684,Academic Issues,0,0
126,correct,0,1,0.98,Fully aligns with SEVP policy limiting only one online course toward full-time status.,Claude,0.11189947,0.88810053,0.627045681,0.783870351,0.2,0.627045681,Academic Issues,1,1
126,correct,0,1,0.9,"GPT-4o correctly states F-1 regulations limit online classes to one class (or three credit hours) per semester toward full-time requirement, accurately reflecting federal F-1 online course restrictions.",GPT4o,0.114383131,0.885616869,0.618722898,0.67609931,0.3,0.618722898,Academic Issues,1,1
127,partially_correct,0.2,0.7,0.78,Correct that probation does not break F-1 status but adds irrelevant restrictions unrelated to SEVP.,Claude,0.825447524,0.174552476,0.581841588,0.812333878,0.1,0.581841588,Academic Issues,0,0
127,correct,0,1,0.85,"GPT-4o correctly implies academic probation doesn't automatically violate status as long as students remain enrolled and meet academic standards, consistent with SEVP requirement to maintain full-time enrollment.",GPT4o,0.477058714,0.522941286,0.576938222,0.802575143,0.1,0.576938222,Academic Issues,1,0
128,incorrect,0.5,0.38,0.41,Fails to mention SEVP rules about maintaining status and instead discusses general admissions issues.,Claude,0.500760402,0.499239598,0.497417192,0.769833242,0.1,0.497417192,Academic Issues,0,0
128,partially_correct,0.1,0.6,0.5,GPT-4o provides general transfer advice but doesn't clearly address the F-1-specific requirement that students on academic suspension must transfer to another SEVP-certified school before falling out of status to maintain continuous full-time enrollment.,GPT4o,0.485496027,0.514503973,0.548308388,0.790636168,0.1,0.548308388,Academic Issues,0,0
129,correct,0,0.95,0.97,Correctly states I-20 shortening requirement and 60-day grace period.,Claude,0.167945149,0.832054851,0.699680272,0.758236446,0.3,0.699680272,Academic Issues,1,1
129,correct,0,1,0.95,"GPT-4o correctly states DSO must update SEVIS to reflect new program end date if graduating early and mentions 60-day grace period begins from actual completion date, accurately reflecting USCIS SEVIS reporting requirements.",GPT4o,0.156775818,0.843224182,0.73668882,0.744591715,0.3,0.73668882,Academic Issues,1,1
13,correct,0,0.95,0.95,Claude accurately describes federal part-time CPT rules.,Claude,0.20347979,0.79652021,0.710622922,0.772301233,0.4,0.710622922,CPT,1,1
13,correct,0,1,0.9,"GPT-4o correctly explains part-time CPT (20 hours or less) is permitted during academic terms with DSO authorization and curriculum requirement, accurately reflecting DHS regulations.",GPT4o,0.211981712,0.788018288,0.682283181,0.713051781,0.4,0.682283181,CPT,1,1
130,hallucination,0.95,0.1,0.12,"Incorrectly claims a gap year can be maintained on F-1, which contradicts SEVP continuous enrollment rules.",Claude,0.220397473,0.779602527,0.654230645,0.792169606,0.3,0.654230645,Academic Issues,0,1
130,correct,0,1,0.85,"GPT-4o correctly explains gap year requires leaving U.S. or using OPT, and reapplying for new F-1 visa for Master's program, consistent with SEVP requirement for continuous full-time study to maintain F-1 status.",GPT4o,0.208766407,0.791233593,0.692977204,0.814024992,0.2,0.692977204,Academic Issues,1,1
131,partially_correct,0.25,0.7,0.8,Correct about extension option but adds grace-period defense suggestion not allowed under SEVP.,Claude,0.307528707,0.692471293,0.752718779,0.793052743,0.2,0.752718779,Academic Issues,0,0
131,correct,0,1,0.9,"GPT-4o correctly advises requesting program extension from DSO for thesis defense delay and mentions it must be done before I-20 expires, accurately reflecting USCIS program extension procedures for academic reasons.",GPT4o,0.31282486,0.68717514,0.735008275,0.771407689,0.2,0.735008275,Academic Issues,1,0
132,correct,0,0.94,0.93,Fully aligned: auditing is allowed but cannot count toward full-time enrollment.,Claude,0.257606016,0.742393984,0.724626116,0.812231122,0.1,0.724626116,Academic Issues,1,1
132,correct,0,1,0.95,"GPT-4o correctly states students can audit classes but audited courses don't count toward full-time enrollment requirement, accurately reflecting SEVP rule that full-time enrollment is required to maintain F-1 status.",GPT4o,0.238793409,0.761206591,0.787341062,0.791940919,0.1,0.787341062,Academic Issues,1,1
133,incorrect,0.55,0.3,0.35,"Fails to mention status violation and reinstatement requirements, focusing only on academic impacts.",Claude,0.82796442,0.17203558,0.573451933,0.744386584,0.1,0.573451933,Academic Issues,0,0
133,correct,0,1,0.85,"GPT-4o correctly implies withdrawing from all classes affects F-1 status and mentions visa implications for international students, consistent with SEVP requirement that unauthorized withdrawal is a status violation requiring departure or reinstatement.",GPT4o,0.829404669,0.170595331,0.568651103,0.750334599,0.1,0.568651103,Academic Issues,1,0
134,incorrect,0.45,0.42,0.38,Ignores SEVP final-term exception allowing part-time enrollment and instead discourages it.,Claude,0.816148456,0.183851544,0.612838482,0.789052984,0,0.612838482,Academic Issues,0,0
134,correct,0,1,0.85,"GPT-4o correctly acknowledges part-time enrollment in final semester may be possible based on institutional policies and graduation requirements, consistent with SEVP exception allowing part-time in final term if only part-time coursework remains.",GPT4o,0.820706836,0.179293164,0.59764388,0.776648127,0,0.59764388,Academic Issues,1,0
135,partially_correct,0.2,0.78,0.82,Correct that retaking classes is allowed but omits the F-1 full-time requirement context.,Claude,0.868041391,0.131958609,0.43986203,0.687005737,0.1,0.43986203,Academic Issues,0,0
135,correct,0,1,0.85,"GPT-4o correctly implies retaking classes is permissible if full-time enrollment is maintained, accurately reflecting USCIS position that retakes don't violate status as long as full-time status is maintained.",GPT4o,0.863854778,0.136145222,0.453817406,0.779021483,0,0.453817406,Academic Issues,1,0
136,partially_correct,0.25,0.68,0.72,Correct that summer study is allowed but fails to mention SEVP requirement to keep home school as primary SEVIS sponsor.,Claude,0.838972928,0.161027072,0.536756906,0.760026638,0,0.536756906,Academic Issues,0,0
136,correct,0,1,0.85,"GPT-4o correctly advises checking with home institution and ensuring credits transfer, consistent with USCIS requirement that SEVIS records reflect primary school while summer classes at another SEVP-certified school are permitted.",GPT4o,0.841554102,0.158445898,0.528152993,0.776030262,0,0.528152993,Academic Issues,1,0
137,incorrect,0.7,0.25,0.2,"Completely misses SEVP transfer/departure rules and answers as if about generic programs, not immigration.",Claude,0.859098872,0.140901128,0.469670427,0.545023693,0.1,0.469670427,Academic Issues,0,0
137,partially_correct,0.3,0.5,0.2,"GPT-4o provides generic software discontinuation advice completely missing the F-1-specific SEVP requirement that if program is discontinued, students must transfer to another certified school or depart the U.S.",GPT4o,0.859181578,0.140818422,0.469394741,0.731496637,0,0.469394741,Academic Issues,0,0
138,correct,0,0.93,0.9,Accurately states that research-only enrollment is valid if counted as full-time by the school.,Claude,0.079844565,0.920155435,0.733859368,0.776905257,0.3,0.733859368,Academic Issues,1,1
138,correct,0,1,0.95,"GPT-4o correctly states F-1 status can be maintained through research-only enrollment if school considers it full-time study and student makes normal progress, accurately reflecting SEVP allowance for research-based enrollment.",GPT4o,0.236103037,0.763896963,0.796323211,0.82769035,0.1,0.796323211,Academic Issues,1,1
139,incorrect,0.5,0.35,0.3,Does not address immigration consequences of failing a defense and instead discusses emotional support.,Claude,0.865913669,0.134086331,0.446954436,0.692514741,0,0.446954436,Academic Issues,0,0
139,partially_correct,0.1,0.7,0.6,GPT-4o provides general academic advice about failing thesis defense but doesn't clearly emphasize the F-1-specific SEVP requirement that students must maintain full-time enrollment and may need program extension until completion.,GPT4o,0.837892862,0.162107138,0.540357126,0.685101016,0.1,0.540357126,Academic Issues,0,0
14,partially_correct,0.2,0.75,0.8,Claude gives reasonable school timelines but misses the key regulatory point that USCIS does not adjudicate CPT.,Claude,0.470902896,0.529097104,0.597005946,0.71384933,0.1,0.597005946,CPT,0,0
14,correct,0,1,0.8,"GPT-4o correctly identifies that CPT processing time varies by university and is an institutional decision (not USCIS), consistent with the regulatory framework where schools issue CPT authorization.",GPT4o,0.453272663,0.546727337,0.655915034,0.736776936,0.1,0.655915034,CPT,1,0
140,partially_correct,0.25,0.7,0.78,Correct about changing levels but adds unrelated funding and academic policy details.,Claude,0.827674567,0.172325433,0.57441811,0.749163287,0,0.57441811,Academic Issues,0,0
140,correct,0,1,0.9,"GPT-4o correctly states switching from PhD to Master's requires school authorization and formal procedures, consistent with USCIS requirement that SEVIS must reflect correct program level through updated I-20.",GPT4o,0.816635631,0.183364369,0.611214562,0.774155138,0,0.611214562,Academic Issues,1,0
141,correct,0,0.95,0.97,Fully aligns with USCIS rules that F-2 spouses cannot work.,Claude,0.237234636,0.762765364,0.792533523,0.794093134,0.1,0.792533523,Dependents (F-2),1,1
141,correct,0,1,0.95,"GPT-4o correctly states F-2 spouses are not permitted to work under any circumstances, precisely matching USCIS mandatory prohibition on F-2 dependent employment.",GPT4o,0.22809674,0.77190326,0.823010867,0.785414758,0.1,0.823010867,Dependents (F-2),1,1
142,hallucination,0.9,0.1,0.15,"Incorrectly states F-1 students cannot have dependents, which is a fabricated rule.",Claude,0.564013702,0.435986298,0.675509881,0.783175776,0.1,0.675509881,Dependents (F-2),0,0
142,correct,0,1,0.9,"GPT-4o correctly explains adding newborn requires DSO to issue dependent I-20 and child obtains F-2 status through visa application or by birth in U.S., accurately reflecting USCIS dependent addition procedures.",GPT4o,0.058889021,0.941110979,0.803703263,0.749002184,0.2,0.803703263,Dependents (F-2),1,1
143,partially_correct,0.3,0.7,0.75,Correct that F-2 spouses cannot study full time but incorrectly restricts part-time study to hobby courses.,Claude,0.167117501,0.832882499,0.831830552,0.830070256,0.2,0.831830552,Dependents (F-2),0,1
143,incorrect,0.6,0.3,0.4,"GPT-4o incorrectly states F-2 spouses can study full-time citing 2015 guidelines, when federal regulations actually permit only part-time study for F-2 spouses unless they change to F-1 status; only F-2 children can study full-time K-12.",GPT4o,0.160031324,0.839968676,0.855437413,0.843439946,0.1,0.855437413,Dependents (F-2),0,1
144,correct,0,0.94,0.96,Accurately describes F-2 dependents changing to H-4 when the F-1 moves to H-1B.,Claude,0.051516163,0.948483837,0.828279457,0.776961835,0.1,0.828279457,Dependents (F-2),1,1
144,correct,0,1,0.95,"GPT-4o correctly states F-2 dependents must change to H-4 status when F-1 principal switches to H-1B by filing Form I-539, accurately reflecting USCIS dependent status change requirements.",GPT4o,0.348456306,0.651543694,0.810727334,0.794697936,0.1,0.810727334,Dependents (F-2),1,0
145,incorrect,0.6,0.32,0.33,Incorrectly states F-1 OPT does not allow dependents when F-2 sponsorship is permitted.,Claude,0.814795327,0.185204673,0.61734891,0.801306323,0.1,0.61734891,Dependents (F-2),0,0
145,correct,0,1,0.9,"GPT-4o correctly explains marriage doesn't automatically grant dependent status and spouse needs dependent I-20 and F-2 visa application, accurately reflecting USCIS procedures for adding new dependents.",GPT4o,0.463548617,0.536451383,0.621520091,0.746688187,0.2,0.621520091,Dependents (F-2),1,0
146,partially_correct,0.25,0.72,0.8,Correct that marriage does not merge records but incorrectly claims F-2 can study full time.,Claude,0.27903049,0.72096951,0.653231699,0.751324063,0.2,0.653231699,Dependents (F-2),0,1
146,correct,0,1,0.95,"GPT-4o correctly states each F-1 student maintains independent status with separate SEVIS record and marriage doesn't merge statuses, accurately reflecting USCIS requirement for independent F-1 status maintenance.",GPT4o,0.276165194,0.723834806,0.662782686,0.759842321,0.4,0.662782686,Dependents (F-2),1,1
147,hallucination,0.92,0.15,0.18,Incorrectly states F-2 children cannot attend public K-12 despite DHS explicitly allowing it.,Claude,0.254323329,0.745676671,0.735588905,0.741643058,0,0.735588905,Dependents (F-2),0,1
147,correct,0,1,0.95,"GPT-4o correctly states F-2 children can attend public schools K-12 for free, accurately reflecting DHS specific allowance for F-2 minors to enroll in elementary and secondary education.",GPT4o,0.431124027,0.568875973,0.729586576,0.739693581,0,0.729586576,Dependents (F-2),1,0
148,correct,0,0.96,0.95,Correctly states F-2 dependents follow F-1 status and must depart after the grace period.,Claude,0.07274477,0.92725523,0.757517432,0.79523624,0.4,0.757517432,Dependents (F-2),1,1
148,correct,0,1,0.95,"GPT-4o correctly states F-2 spouse follows F-1 principal's grace period (60 days) after program completion or OPT, accurately reflecting that F-2 dependents follow the status of the F-1.",GPT4o,0.06981104,0.93018896,0.767243533,0.777950795,0.2,0.767243533,Dependents (F-2),1,1
149,correct,0,0.98,0.97,Accurately explains that parents may visit on B-1/B-2 visas with no F-1 restrictions.,Claude,0.251766761,0.748233239,0.744110798,0.798296735,0.1,0.744110798,Dependents (F-2),1,1
149,correct,0,1,0.95,"GPT-4o correctly states parents can visit on B-2 tourist visa while student is on F-1, accurately reflecting USCIS allowance for family visits and lack of restrictions on B-2 visits to F-1 students.",GPT4o,0.23419408,0.76580592,0.802686401,0.776972251,0,0.802686401,Dependents (F-2),1,1
15,correct,0,0.95,0.95,Claude correctly states a job offer is required before CPT authorization.,Claude,0.340277031,0.659722969,0.643521008,0.696072615,0.3,0.643521008,CPT,1,0
15,correct,0,1,0.9,"GPT-4o correctly states a job offer is required for CPT because authorization is employer-specific and DSO must enter employer information, aligning with SEVIS requirements.",GPT4o,0.324613952,0.675386048,0.695731271,0.717774453,0.3,0.695731271,CPT,1,0
150,correct,0,0.95,0.96,Correctly states F-2 dependents lose status when the F-1 loses status.,Claude,0.18545391,0.81454609,0.770709188,0.836346221,0.2,0.770709188,Dependents (F-2),1,1
150,correct,0,1,0.95,"GPT-4o correctly states if F-1 loses status, F-2 dependents also lose status as F-2 is dependent on F-1 holder maintaining status, accurately reflecting SEVP requirement for dependent status maintenance.",GPT4o,0.18339522,0.81660478,0.777611228,0.830663298,0.1,0.777611228,Dependents (F-2),1,1
151,hallucination,0.85,0.18,0.2,Falsely states you cannot add dependents during OPT or STEM OPT despite regulations allowing it.,Claude,0.056117122,0.943882878,0.812942928,0.845218362,0.2,0.812942928,Dependents (F-2),0,1
151,partially_correct,0.2,0.8,0.8,"GPT-4o correctly states students on STEM OPT can have F-2 dependents and incorrectly adds that F-2 spouses cannot enroll full-time, when the answer should simply confirm STEM OPT doesn't restrict dependent sponsorship without additional incorrect restrictions.",GPT4o,0.046383488,0.953616512,0.845388373,0.836408563,0.4,0.845388373,Dependents (F-2),0,1
152,correct,0,0.9,0.88,Correctly states divorce ends F-2 eligibility and requires change of status or departure.,Claude,0.252962961,0.747037039,0.740131979,0.802113886,0.2,0.740131979,Dependents (F-2),1,1
152,correct,0,1,0.9,"GPT-4o correctly explains divorce terminates F-2 eligibility and spouse must depart or change status, accurately reflecting USCIS requirement that dependents maintain valid status independent of personal circumstances.",GPT4o,0.247157614,0.752842386,0.759474619,0.785779076,0,0.759474619,Dependents (F-2),1,1
153,correct,0,0.94,0.92,Correctly states F-2 dependents may travel independently with proper documents.,Claude,0.062903932,0.937096068,0.790297365,0.767629833,0.2,0.790297365,Dependents (F-2),1,1
153,correct,0,1,0.95,"GPT-4o correctly states F-2 dependents can travel independently with valid passport, F-2 visa, and I-20, accurately reflecting federal regulations allowing independent F-2 dependent travel.",GPT4o,0.049131958,0.950868042,0.836226807,0.792712005,0.2,0.836226807,Dependents (F-2),1,1
154,correct,0,0.97,0.94,Accurately states no USCIS insurance requirement for F-2 dependents.,Claude,0.264224393,0.735775607,0.702544172,0.749337317,0.1,0.702544172,Dependents (F-2),1,1
154,correct,0,1,0.85,"GPT-4o correctly states health insurance is recommended/often required by institutions for F-2 dependents though not federally mandated, consistent with USCIS position that only J-1/J-2 have mandatory federal insurance requirements.",GPT4o,0.261103383,0.738896617,0.712988722,0.78913006,0.1,0.712988722,Dependents (F-2),1,1
155,correct,0,0.96,0.94,Correctly states F-2 children age out at 21 and must change status or leave.,Claude,0.060252738,0.939747262,0.799157541,0.798068669,0.1,0.799157541,Dependents (F-2),1,1
155,correct,0,1,0.95,"GPT-4o correctly states children lose F-2 eligibility at age 21 and must change to another status like F-1, accurately reflecting USCIS age limit for F-2 dependent children.",GPT4o,0.059321957,0.940678043,0.802351181,0.780019277,0.1,0.802351181,Dependents (F-2),1,1
156,correct,0,0.95,0.92,Correct that F-2 dependents may obtain a driver’s license if they meet state requirements.,Claude,0.059677266,0.940322734,0.80107578,0.791318999,0.2,0.80107578,Dependents (F-2),1,1
156,correct,0,1,0.9,"GPT-4o correctly states F-2 dependents can obtain driver's license with identity and immigration documents and requirements vary by state, accurately reflecting that state licensing doesn't conflict with F-2 regulations.",GPT4o,0.060187243,0.939812757,0.799375858,0.832088117,0.1,0.799375858,Dependents (F-2),1,1
157,partially_correct,0.25,0.7,0.78,Correct about status violation but adds speculation about deportation without regulatory nuance.,Claude,0.264268673,0.735731327,0.702437756,0.746580806,0.1,0.702437756,Dependents (F-2),0,1
157,correct,0,1,0.95,"GPT-4o correctly states unauthorized employment by F-2 dependent is status violation that can result in termination requiring departure or status change, accurately reflecting USCIS prohibition on F-2 employment.",GPT4o,0.244469857,0.755530143,0.768433403,0.783985992,0.1,0.768433403,Dependents (F-2),1,1
158,partially_correct,0.3,0.65,0.72,Correct that employment-like volunteering is prohibited but overstated limitations.,Claude,0.055382172,0.944617828,0.815404562,0.757946205,0.2,0.815404562,Dependents (F-2),0,1
158,correct,0,1,0.9,"GPT-4o correctly states F-2 dependents can volunteer at nonprofits if truly unpaid and doesn't displace paid worker, consistent with USCIS requirement that volunteer work meet federal labor standards.",GPT4o,0.233374986,0.766625014,0.805401396,0.781471788,0,0.805401396,Dependents (F-2),1,1
159,correct,0,0.9,0.88,Matches gold answer that finances are reviewed by the school for dependent I-20 issuance.,Claude,0.184427256,0.815572744,0.774131368,0.784490952,0.1,0.774131368,Dependents (F-2),1,1
159,correct,0,1,0.85,"GPT-4o correctly describes providing financial documentation to school for dependent I-20 issuance including bank statements and support letters, accurately reflecting that schools (not USCIS directly) review financials for dependent I-20 purposes.",GPT4o,0.539652999,0.460347001,0.756712225,0.823001918,0.2,0.756712225,Dependents (F-2),1,0
16,partially_correct,0.25,0.7,0.8,Claude is mostly correct but incorrectly introduces hour-limit rules not defined by federal CPT policy.,Claude,0.419598661,0.580401339,0.768004463,0.772194719,0.4,0.768004463,CPT,0,0
16,correct,0,1,0.85,"GPT-4o correctly explains multiple CPT employers are allowed with separate authorization for each position that meets curriculum requirements, consistent with federal CPT regulations.",GPT4o,0.436990506,0.563009494,0.710031648,0.691027923,0.3,0.710031648,CPT,1,0
160,hallucination,0.9,0.12,0.18,Incorrectly claims F-2 dependents can qualify for SSNs despite USCIS prohibiting this.,Claude,0.052878811,0.947121189,0.823737298,0.824557683,0.4,0.823737298,Dependents (F-2),0,1
160,correct,0,1,0.95,"GPT-4o correctly states F-2 dependents are not eligible for SSN because not authorized to work and mentions ITIN as alternative for tax purposes, accurately reflecting SSA eligibility requirements for F-2 dependents.",GPT4o,0.04991342,0.95008658,0.833575466,0.808035321,0.1,0.833575466,Dependents (F-2),1,1
161,correct,0,1,0.95,"GPT-4o correctly states F-1 students must file Form 8843 regardless of income and Form 1040-NR if they earned income, accurately reflecting USCIS requirement for nonimmigrants to comply with tax obligations.",GPT4o,0.230263922,0.769736078,0.815784848,0.78818191,0,0.815784848,Tax,1,1
162,correct,0,1,0.95,"GPT-4o correctly explains the 5-year rule as F-1 students being exempt from substantial presence test for first five calendar years for tax residency determination, accurately reflecting IRS rules.",GPT4o,0.228562904,0.771437096,0.821456985,0.747921299,0,0.821456985,Tax,1,1
163,correct,0,1,0.9,"GPT-4o correctly states F-1 students from treaty countries can claim tax treaty benefits if eligible and describes the process, accurately reflecting IRS and U.S. tax treaty provisions.",GPT4o,0.233809768,0.766190232,0.803967441,0.827838447,0,0.803967441,Tax,1,1
164,correct,0,1,0.95,"GPT-4o correctly states F-1 students on OPT who are nonresident aliens are exempt from Social Security and Medicare taxes, accurately reflecting IRS exemption rules.",GPT4o,0.079336642,0.920663358,0.735544526,0.694367174,0.1,0.735544526,Tax,1,1
165,correct,0,1,0.85,"GPT-4o correctly explains SSN requires work authorization and employment documentation, though it provides general guidance rather than F-1-specific details about presenting job offer and I-20 with employment authorization.",GPT4o,0.819071435,0.180928565,0.603116397,0.743952458,0,0.603116397,Tax,1,0
166,correct,0,1,0.9,"GPT-4o correctly states scholarships exceeding qualified educational expenses may be taxable income, accurately reflecting IRS rules while noting this doesn't affect USCIS status.",GPT4o,0.817687001,0.182312999,0.607703552,0.761915817,0.1,0.607703552,Tax,1,0
167,correct,0,1,0.8,"GPT-4o provides general guidance on claiming dependents but correctly implies nonresident aliens have limitations, consistent with IRS rules that nonresident aliens usually cannot claim dependents except under specific exceptions.",GPT4o,0.789637836,0.210362164,0.700840386,0.802886884,0,0.700840386,Tax,1,0
168,correct,0,1,0.95,"GPT-4o correctly states state and federal taxes are filed separately with different agencies and forms, accurately reflecting that filing requirements depend on state tax laws, not USCIS rules.",GPT4o,0.779920437,0.220079563,0.733598544,0.745581851,0.1,0.733598544,Tax,1,0
169,correct,0,1,0.8,"GPT-4o correctly describes IRS penalties and consequences for not filing taxes, consistent with the principle that IRS noncompliance may impact future immigration benefits though not directly affecting current status.",GPT4o,0.820092997,0.179907003,0.599631978,0.710827533,0.1,0.599631978,Tax,1,0
17,correct,0,1,0.95,Claude perfectly matches the OPT-impact rule on 12 months of full-time CPT.,Claude,0.068645873,0.931354127,0.771180423,0.761266049,0.4,0.771180423,CPT,1,1
17,correct,0,1,0.95,"GPT-4o accurately states 12+ months of full-time CPT eliminates OPT eligibility while part-time CPT does not affect OPT, precisely matching federal regulations.",GPT4o,0.075042835,0.924957165,0.749857216,0.695959885,0.3,0.749857216,CPT,1,1
170,correct,0,1,0.9,"GPT-4o correctly states bank accounts can be opened without SSN using alternative identification like ITIN or passport, accurately reflecting that USCIS doesn't regulate banking eligibility.",GPT4o,0.777737333,0.222262667,0.740885459,0.794422321,0.1,0.740885459,Tax,1,0
171,correct,0,1,0.9,"GPT-4o correctly states F-1 students may be eligible for tax refunds depending on withholding and treaty benefits, accurately reflecting that refunds are governed by IRS rules.",GPT4o,0.061567299,0.938432701,0.794775671,0.783846063,0,0.794775671,Tax,1,1
172,correct,0,1,0.85,"GPT-4o correctly explains tax obligations depend on residency status with nonresidents typically taxed only on U.S.-source income, accurately reflecting IRS rules unrelated to USCIS regulations.",GPT4o,0.857432282,0.142567718,0.475225726,0.772415125,0.1,0.475225726,Tax,1,0
173,correct,0,1,0.9,"GPT-4o correctly states students on OPT can contribute to retirement accounts if they have employment income, accurately reflecting IRS eligibility with USCIS having no restrictions on saving or investing.",GPT4o,0.430877341,0.569122659,0.730408862,0.816483304,0.1,0.730408862,Tax,1,0
174,correct,0,1,0.95,"GPT-4o correctly describes Form 8843 as required for F-1 students and dependents regardless of income to document exempt status for tax residency, accurately reflecting IRS filing requirements.",GPT4o,0.059587151,0.940412849,0.801267904,0.718223595,0,0.801267904,Tax,1,1
175,correct,0,1,0.95,"GPT-4o correctly identifies multiple tax preparation resources including VITA program and university resources, accurately reflecting available assistance options for international students with nonresident returns.",GPT4o,0.494311697,0.505688303,0.752294343,0.862380375,0.1,0.752294343,Tax,1,0
176,correct,0,1,0.9,"GPT-4o correctly states CPT and OPT income are taxed the same based on residency status with both subject to federal and state income tax, accurately reflecting IRS rules.",GPT4o,0.336228847,0.663771153,0.657014956,0.7173586,0.2,0.657014956,Tax,1,0
177,correct,0,1,0.95,"GPT-4o correctly states working in multiple states may require filing tax returns in each state that taxes income, accurately reflecting state tax law requirements independent of USCIS regulations.",GPT4o,0.806759294,0.193240706,0.644136648,0.666481505,0,0.644136648,Tax,1,0
178,correct,0,1,0.8,"GPT-4o provides detailed education credit information but correctly implies eligibility depends on tax status, consistent with IRS rules that F-1 nonresident aliens are generally not eligible unless they meet exceptions.",GPT4o,0.488785916,0.511214084,0.537527119,0.753208288,0,0.537527119,Tax,1,0
179,correct,0,1,0.95,"GPT-4o correctly states TA/RA income is taxable and must be reported, accurately reflecting IRS rules and noting this doesn't impact USCIS status when employment is authorized.",GPT4o,0.821857776,0.178142224,0.593964567,0.74132089,0,0.593964567,Tax,1,0
18,partially_correct,0.3,0.7,0.75,Claude lists many common school-required CPT documents but adds federal documents not mandated by regulation.,Claude,0.20161446,0.79838554,0.716840689,0.663540399,0.4,0.716840689,CPT,0,1
18,partially_correct,0.3,0.7,0.6,"GPT-4o lists many school-specific documents but misses the key regulatory point that CPT is school-issued (not USCIS-adjudicated), and the primary federal requirement is the I-20 with CPT authorization on page 2.",GPT4o,0.195242958,0.804757042,0.738193682,0.662941347,0.2,0.738193682,CPT,0,1
180,correct,0,1,0.9,"GPT-4o correctly explains FICA refund applies when Social Security/Medicare taxes were erroneously withheld and describes claiming process through employer or Form 843, accurately reflecting IRS refund procedures.",GPT4o,0.069735357,0.930264643,0.76754881,0.795508065,0,0.76754881,Tax,1,1
181,correct,0,1,0.9,"GPT-4o correctly states students can apply for green card while on OPT through employment or family categories and mentions adjustment of status process, accurately reflecting USCIS petition evaluation procedures.",GPT4o,0.428296907,0.571703093,0.739010309,0.752675472,0.1,0.739010309,Long-term Planning,1,0
182,correct,0,1,0.95,"GPT-4o correctly distinguishes H-1B as temporary nonimmigrant work visa and green card as permanent residence, accurately reflecting USCIS classification of H-1B as dual-intent status.",GPT4o,0.413901214,0.586098786,0.786995953,0.763922966,0,0.786995953,Long-term Planning,1,0
183,correct,0,1,0.85,"GPT-4o correctly states students can start a business after OPT ends but need valid work authorization to work for it, accurately reflecting USCIS requirement for employment authorization for any work performed.",GPT4o,0.431342335,0.568657665,0.728858884,0.741715079,0.1,0.728858884,Long-term Planning,1,0
184,correct,0,1,0.85,"GPT-4o correctly explains if not selected in H-1B lottery, students need another work-authorized status or must explore alternatives like other visas or departure, consistent with USCIS work authorization requirements.",GPT4o,0.086993523,0.913006477,0.71002159,0.665966561,0.2,0.71002159,Long-term Planning,1,1
185,correct,0,1,0.9,"GPT-4o correctly states returning after F-1 ends requires different visa status and explains grace period, accurately reflecting USCIS prohibition on reentry in F-1 status after grace period without new I-20.",GPT4o,0.52782926,0.47217074,0.796124689,0.80959298,0.2,0.796124689,Long-term Planning,1,0
186,correct,0,1,0.9,"GPT-4o correctly explains degree evaluations may be required for employment-based green cards to verify U.S. degree equivalency, accurately reflecting USCIS requirement for credential evaluation when needed.",GPT4o,0.060684816,0.939315184,0.797717281,0.761462985,0.1,0.797717281,Long-term Planning,1,1
187,correct,0,1,0.95,"GPT-4o correctly distinguishes EB-2 for advanced degree holders/exceptional ability and EB-3 for skilled workers/professionals, accurately reflecting USCIS eligibility determination based on job requirements and credentials.",GPT4o,0.405777369,0.594222631,0.814075437,0.778777439,0,0.814075437,Long-term Planning,1,0
188,correct,0,1,0.95,"GPT-4o correctly explains EB-1A allows self-petition for extraordinary ability with at least three of ten criteria, accurately reflecting USCIS requirements for sustained national or international acclaim.",GPT4o,0.057739529,0.942260471,0.807534902,0.753165036,0.1,0.807534902,Long-term Planning,1,1
